std_A, std_K, mean_A, mean_k, p50, p90, p99, percentile for 0.05 coe, percentile for 0.08 coe, percentile for 0.10 coe, percentile for 0.15 coe, standard deviation
0.5, 0.05, 7, 1.5, 0.11910809903, 0.140513587702, 0.152119627585, 0.01, 0.01, 5.08, 98.42, 0.0140835240112
0.5, 0.05, 7, 1.75, 0.1254988201, 0.152359268766, 0.16776601829, 0.01, 0.01, 2.9, 87.77, 0.0176646023872
0.5, 0.05, 7, 2.0, 0.13226603446, 0.16441772615, 0.183762368798, 0.01, 0.01, 1.49, 81.67, 0.0211295578042
0.5, 0.05, 7, 2.25, 0.13892994397, 0.17599385828, 0.199106392048, 0.01, 0.01, 0.85, 72.1, 0.0244052916509
0.5, 0.05, 7, 2.5, 0.14521567524, 0.186598084952, 0.213043296148, 0.01, 0.01, 0.35, 56.49, 0.0273496378618
0.5, 0.05, 7, 2.75, 0.15094760208, 0.195887964286, 0.225084558337, 0.01, 0.01, 0.01, 46.68, 0.0298534465519
0.5, 0.05, 7, 3.0, 0.15600279793, 0.203584689662, 0.235071086859, 0.01, 0.01, 0.01, 43.85, 0.031880930509
0.5, 0.05, 8, 1.5, 0.09688465999, 0.108460514738, 0.115152807229, 0.01, 0.01, 68.05, None, 0.00803271466106
0.5, 0.05, 8, 1.75, 0.097921711197, 0.112210322406, 0.120513417487, 0.01, 0.16, 57.45, None, 0.00978133055894
0.5, 0.05, 8, 2.0, 0.099742986888, 0.116400611442, 0.126356250154, 0.01, 0.66, 51.5, None, 0.0113600209793
0.5, 0.05, 8, 2.25, 0.10169570278, 0.120540954362, 0.132105096209, 0.01, 0.83, 44.7, None, 0.0128191320711
0.5, 0.05, 8, 2.5, 0.10361082148, 0.12448413685, 0.137551943176, 0.01, 0.91, 40.42, None, 0.0141762765385
0.5, 0.05, 8, 2.75, 0.10544125903, 0.128111292696, 0.142553527347, 0.01, 0.95, 37.16, None, 0.0154129474775
0.5, 0.05, 8, 3.0, 0.10715629533, 0.131307157652, 0.147004910445, 0.01, 0.96, 34.82, 99.63, 0.0165076954065
0.5, 0.05, 9, 1.5, 0.083625440627, 0.0898975811928, 0.0945771106698, 0.01, 23.29, None, None, 0.00495400058739
0.5, 0.05, 9, 1.75, 0.081869869099, 0.0899029706266, 0.0951132474335, 0.01, 39.97, None, None, 0.00589764773486
0.5, 0.05, 9, 2.0, 0.081242606263, 0.0905711553954, 0.0964885695212, 0.01, 44.33, None, None, 0.00670846781851
0.5, 0.05, 9, 2.25, 0.081256749299, 0.0913696920014, 0.0979914760459, 0.01, 44.12, None, None, 0.00732543646667
0.5, 0.05, 9, 2.5, 0.08119971093, 0.0922054973638, 0.0995199241438, 0.01, 44.41, 99.22, None, 0.00793560611049
0.5, 0.05, 9, 2.75, 0.080964886385, 0.0930606127406, 0.10104268161, 0.01, 45.47, 98.57, None, 0.00858205048446
0.5, 0.05, 9, 3.0, 0.080995695268, 0.0938611255512, 0.102439376626, 0.01, 45.51, 98.05, None, 0.00910700233127
0.5, 0.1, 5, 1.5, 0.23571704038, 0.354776617978, 0.421350911152, 0.01, 0.01, 0.01, 0.01, 0.0671334723711
0.5, 0.1, 5, 1.75, 0.28538432426, 0.43963357877, 0.531648502707, 0.01, 0.01, 0.01, 0.01, 0.0904516118298
0.5, 0.1, 5, 2.0, 0.33499980119, 0.523713489298, 0.637511408376, 0.01, 0.01, 0.01, 0.01, 0.112740467134
0.5, 0.1, 5, 2.25, 0.3789607673, 0.596119355188, 0.739880790963, 0.01, 0.01, 0.01, 0.01, 0.132163588652
0.5, 0.1, 5, 2.5, 0.41617119249, 0.656752851486, 0.828174672003, 0.01, 0.01, 0.01, 0.01, 0.148472542285
0.5, 0.1, 5, 2.75, 0.44673545763, 0.706557159696, 0.90222666033, 0.01, 0.01, 0.01, 0.01, 0.162095705672
0.5, 0.1, 5, 3.0, 0.47123066437, 0.747158270302, 0.963866832371, 0.01, 0.01, 0.01, 0.01, 0.173487831185
0.5, 0.1, 6, 1.5, 0.15676549879, 0.205016312292, 0.230144845461, 0.01, 0.01, 0.01, 36.93, 0.0284720924335
0.5, 0.1, 6, 1.75, 0.17608648998, 0.236114098008, 0.269339245555, 0.01, 0.01, 0.01, 18.76, 0.036832323249
0.5, 0.1, 6, 2.0, 0.1943906767, 0.26780789102, 0.308083439001, 0.01, 0.01, 0.01, 12.8, 0.0450409125586
0.5, 0.1, 6, 2.25, 0.21226064798, 0.29634199123, 0.345286722014, 0.01, 0.01, 0.01, 5.6, 0.0524624978798
0.5, 0.1, 6, 2.5, 0.22785438128, 0.320877058922, 0.378383431108, 0.01, 0.01, 0.01, 2.63, 0.0586644962509
0.5, 0.1, 6, 2.75, 0.24151138645, 0.341008527598, 0.405521675796, 0.01, 0.01, 0.01, 1.32, 0.0635865625776
0.5, 0.1, 6, 3.0, 0.25276752152, 0.357098371672, 0.427256968934, 0.01, 0.01, 0.01, 0.65, 0.0674057081898
0.5, 0.1, 7, 1.5, 0.11928998387, 0.141006933628, 0.152662231709, 0.01, 0.01, 5.11, 97.2, 0.0142923443706
